SNo,Area,Country/Region,Last Update,Confirmed,Deaths,Recovered
117,,Croatia,3/18/2020 11:13,81,0,4
118,,Argentina,3/18/2020 3:33,79,2,3
119,Tennessee,US,3/18/2020 19:14,79,0,0
120,Minnesota,US,3/18/2020 19:14,77,0,0
121,Virginia,US,3/18/2020 19:53,77,2,0
122,Xinjiang,Mainland China,3/11/2020 2:18,76,3,73
123,Inner Mongolia,Mainland China,3/16/2020 14:38,75,1,73
124,Ningxia,Mainland China,3/16/2020 14:38,75,0,75
125,,Vietnam,3/18/2020 15:33,75,0,16
126,,Algeria,3/18/2020 19:53,74,7,12
127,,Latvia,3/18/2020 11:13,71,0,1
128,North Carolina,US,3/18/2020 19:14,70,0,0
129,,Brunei,3/18/2020 11:13,68,0,0
130,Connecticut,US,3/17/2020 23:13,68,0,0
131,Oregon,US,3/18/2020 13:53,68,2,0
132,Cruise Ship,Others,2/7/2020 16:33,61,0,0
133,,Albania,3/18/2020 12:33,59,2,0
134,Faroe Islands,Denmark,3/18/2020 16:59,58,0,0
135,,Hungary,3/18/2020 11:13,58,1,2
136,Nevada,US,3/18/2020 19:14,55,1,0
137,,Jordan,3/18/2020 14:53,52,0,1
138,,Belarus,3/18/2020 11:33,51,0,5
139,,Sri Lanka,3/18/2020 13:13,51,0,1
140,Utah,US,3/17/2020 20:53,51,0,0
141,,Costa Rica,3/18/2020 3:33,50,0,0
142,,Uruguay,3/18/2020 11:33,50,0,0
143,,Cyprus,3/18/2020 3:13,49,0,0
144,,Morocco,3/18/2020 11:33,49,2,1
145,Diamond Princess cruise ship,US,3/16/2020 16:53,47,0,0
146,South Carolina,US,3/17/2020 23:13,47,1,0
147,Alabama,US,3/18/2020 19:33,46,0,0
148,Unassigned Location (From Diamond Princess),US,3/2/2020 19:53,45,0,0
149,Maine,US,3/18/2020 19:33,42,0,0
150,,Andorra,3/17/2020 20:53,39,0,1
151,,Oman,3/18/2020 19:33,39,0,12
152,Indiana,US,3/18/2020 19:33,39,2,0
153,,Bosnia and Herzegovina,3/18/2020 12:13,38,0,2
154,,Georgia,3/18/2020 11:33,38,0,1
155,,Malta,3/17/2020 15:53,38,0,2
156,"Santa Clara County, CA",US,3/8/2020 21:23,38,0,1
157,South Australia,Australia,3/18/2020 11:53,37,0,3
158,,Venezuela,3/18/2020 11:33,36,0,0
159,Western Australia,Australia,3/18/2020 12:13,35,1,0
160,,Cambodia,3/18/2020 11:33,35,0,1
161,,Kazakhstan,3/18/2020 11:33,35,0,0
162,,North Macedonia,3/18/2020 12:33,35,0,1
163,Mississippi,US,3/18/2020 19:33,34,0,0
164,Arkansas,US,3/18/2020 19:33,33,0,0
165,Rhode Island,US,3/18/2020 19:33,33,0,0
166,,Senegal,3/18/2020 11:33,31,0,2
167,District of Columbia,US,3/18/2020 5:53,31,0,0
168,"Snohomish County, WA",US,3/8/2020 21:43,31,1,0
169,,Moldova,3/18/2020 11:33,30,1,1
170,,Tunisia,3/18/2020 12:33,29,0,0
171,Iowa,US,3/18/2020 5:53,29,0,0
172,,Azerbaijan,3/17/2020 11:53,28,1,6
173,"Toronto, ON",Canada,3/8/2020 21:33,28,0,3
174,,Liechtenstein,3/18/2020 19:14,28,0,0
175,,Guadeloupe,3/18/2020 10:13,27,0,0
176,,Lithuania,3/18/2020 11:33,27,0,1
177,Arizona,US,3/18/2020 19:33,27,0,0
178,Kentucky,US,3/18/2020 14:13,27,1,0
179,New Hampshire,US,3/17/2020 23:13,26,0,0
180,Nebraska,US,3/18/2020 13:53,24,0,0
181,New Mexico,US,3/17/2020 23:13,23,0,0
182,,Afghanistan,3/17/2020 11:53,22,0,1
183,,Palestine,3/7/2020 2:23,22,0,0
184,,Dominican Republic,3/17/2020 8:13,21,1,0
185,,Republic of Ireland,3/8/2020 21:03,21,0,0
186,Grand Princess,US,3/17/2020 20:53,21,0,0
187,Grand Princess Cruise Ship,US,3/7/2020 1:33,21,0,0
188,,Burkina Faso,3/18/2020 12:33,20,1,0
189,,New Zealand,3/18/2020 2:53,20,0,0
190,"Santa Clara, CA",US,3/5/2020 22:53,20,0,1
191,,Martinique,3/18/2020 10:13,19,1,0
192,Delaware,US,3/18/2020 19:33,19,0,0
193,"New York County, NY",US,3/9/2020 17:13,19,0,0
194,Oklahoma,US,3/17/2020 17:53,19,0,0
195,Qinghai,Mainland China,3/11/2020 2:18,18,0,18
196,Kansas,US,3/17/2020 23:13,18,1,0
197,Missouri,US,3/18/2020 19:33,18,0,0
198,Vermont,US,3/18/2020 19:33,18,0,0
199,"Nassau County, NY",US,3/9/2020 17:13,17,0,0
200,Manitoba,Canada,3/18/2020 3:33,15,0,0
201,Macau,Macau,3/18/2020 10:33,15,0,10
202,Wyoming,US,3/18/2020 13:53,15,0,0
203,,Uzbekistan,3/18/2020 12:13,15,0,0
204,,Bangladesh,3/18/2020 11:33,14,1,3
205,,Ukraine,3/17/2020 19:33,14,2,0
206,Hawaii,US,3/18/2020 5:53,14,0,0
207,"Los Angeles, CA",US,3/8/2020 1:13,14,0,0
208,,Jamaica,3/18/2020 11:53,13,0,2
209,,Maldives,3/15/2020 18:20,13,0,0
210,,Bolivia,3/18/2020 11:53,12,0,0
211,Nova Scotia,Canada,3/18/2020 17:53,12,0,0
212,,Reunion,3/18/2020 11:53,12,0,0
213,"Contra Costa County, CA",US,3/8/2020 21:43,12,0,0
214,New Brunswick,Canada,3/18/2020 18:33,11,0,0
215,,French Guiana,3/16/2020 14:38,11,0,0
216,,Paraguay,3/18/2020 11:53,11,0,0
217,"Ashland, NE",US,2/21/2020 23:23,11,0,0
218,Montana,US,3/18/2020 19:33,11,0,0
219,South Dakota,US,3/17/2020 23:33,11,1,0
220,Tasmania,Australia,3/18/2020 11:53,10,0,0
221,,Cameroon,3/17/2020 15:53,10,0,0
222,Grand Princess,Canada,3/18/2020 11:53,9,0,0
223,,Honduras,3/18/2020 11:53,9,0,0
224,Idaho,US,3/18/2020 5:53,9,0,0
225,"San Francisco County, CA",US,3/8/2020 1:23,9,0,0
226,"Seattle, WA",US,3/1/2020 21:13,9,1,1
227,Saskatchewan,Canada,3/18/2020 11:53,8,0,0
228,,Nigeria,3/18/2020 12:33,8,0,1
229,,Rwanda,3/18/2020 11:33,8,0,0
230,Gibraltar,UK,3/18/2020 14:13,8,0,2
231,"Suffolk County, MA",US,3/8/2020 21:13,8,0,1
232,"Washington County, OR",US,3/8/2020 19:43,8,0,0
233,,Cuba,3/18/2020 16:59,7,1,0
234,,Ghana,3/17/2020 19:33,7,0,0
235,,Guyana,3/17/2020 10:53,7,1,0
236,,Monaco,3/16/2020 14:38,7,0,0
237,,Trinidad and Tobago,3/18/2020 11:53,7,0,0
238,"Cook County, IL",US,3/8/2020 20:23,7,0,2
239,"Middlesex County, MA",US,3/8/2020 21:13,7,0,0
240,"Placer County, CA",US,3/9/2020 8:23,7,1,0
241,,Ethiopia,3/18/2020 11:33,6,0,0
242,,Guatemala,3/17/2020 12:13,6,1,0
243,,Ivory Coast,3/18/2020 11:33,6,0,1
244,,Mongolia,3/18/2020 11:53,6,0,0
245,Channel Islands,UK,3/16/2020 14:38,6,0,0
246,Alaska,US,3/18/2020 5:53,6,0,0
247,"Fort Bend County, TX",US,3/8/2020 17:33,6,0,0
248,"Harris County, TX",US,3/9/2020 9:13,6,0,0
249,"Norfolk County, MA",US,3/8/2020 21:13,6,0,0
250,North Dakota,US,3/18/2020 19:33,6,0,0
251,Fench Guiana,France,3/14/2020 16:53,5,0,0
252,Bavaria,Germany,1/31/2020 23:59,5,0,0
253,"Fulton County, GA",US,3/9/2020 18:53,5,0,0
254,Guam,US,3/18/2020 5:53,5,0,0
255,"Montgomery County, PA",US,3/9/2020 18:33,5,0,0
256,Puerto Rico,US,3/16/2020 0:22,5,0,0
257,"Travis, CA",US,2/21/2020 23:23,5,0,0
258,"Unassigned Location, WA",US,3/6/2020 0:33,5,0,0
259,,Aruba,3/18/2020 11:53,4,0,0
260,"Montreal, QC",Canada,3/8/2020 16:03,4,0,0
261,,Congo (Kinshasa),3/18/2020 11:33,4,0,0
262,,Equatorial Guinea,3/18/2020 14:33,4,0,0
263,,Seychelles,3/17/2020 12:33,4,0,0
264,"Bergen County, NJ",US,3/8/2020 21:23,4,0,0
265,"Grafton County, NH",US,3/8/2020 17:53,4,0,0
266,"Kershaw County, SC",US,3/9/2020 0:03,4,0,0
267,"Montgomery County, MD",US,3/8/2020 21:53,4,0,0
268,"New York City, NY",US,3/5/2020 21:03,4,0,0
269,"Orange County, CA",US,3/9/2020 0:23,4,0,0
270,"Pierce County, WA",US,3/8/2020 21:43,4,0,0
271,"Rockland County, NY",US,3/9/2020 17:33,4,0,0
272,Australian Capital Territory,Australia,3/18/2020 11:53,3,0,0
273,"Edmonton, Alberta",Canada,3/8/2020 16:23,3,0,0
274,Newfoundland and Labrador,Canada,3/17/2020 17:53,3,0,0
275,French Polynesia,France,3/15/2020 18:20,3,0,0
276,Saint Barthelemy,France,3/16/2020 14:38,3,0,0
277,St Martin,France,3/18/2020 10:13,3,0,0
278,,Kenya,3/16/2020 0:22,3,0,0
279,,Kyrgyzstan,3/18/2020 11:53,3,0,0
280,,Mauritius,3/18/2020 19:53,3,0,0
281,,Mayotte,3/18/2020 2:53,3,0,0
282,Curacao,Netherlands,3/17/2020 12:33,3,0,0
283,,Tanzania,3/18/2020 11:33,3,0,0
284,"Broward County, FL",US,3/9/2020 8:53,3,0,0
285,"Chicago, IL",US,3/1/2020 3:53,3,0,2
286,"Cobb County, GA",US,3/9/2020 3:53,3,0,0
287,"Douglas County, CO",US,3/7/2020 1:53,3,0,0
288,"Douglas County, NE",US,3/9/2020 0:53,3,0,0
289,"Johnson County, IA",US,3/9/2020 8:43,3,0,0
290,"Maricopa County, AZ",US,3/7/2020 19:53,3,0,1
291,"Providence County, RI",US,3/7/2020 2:23,3,0,0
292,"San Diego County, CA",US,3/5/2020 20:33,3,0,1
293,"Sonoma County, CA",US,3/9/2020 12:03,3,0,0
294,,Barbados,3/18/2020 6:33,2,0,0
295,,Benin,3/18/2020 14:13,2,0,0
296,,Faroe Islands,3/8/2020 5:13,2,0,0
297,,Kosovo,3/15/2020 18:20,2,0,0
298,,Liberia,3/18/2020 3:13,2,0,0
299,,Namibia,3/14/2020 16:33,2,0,0
300,Aruba,Netherlands,3/18/2020 0:53,2,0,0
301,,Saint Lucia,3/17/2020 4:32,2,0,0
302,,St. Martin,3/9/2020 10:43,2,0,0
303,,Sudan,3/18/2020 12:13,2,1,0
304,"Alameda County, CA",US,3/7/2020 13:13,2,0,0
305,"Clark County, NV",US,3/8/2020 21:43,2,0,0
306,"Denver County, CO",US,3/6/2020 23:33,2,0,0
307,"Fairfax County, VA",US,3/8/2020 21:33,2,0,0
308,"Floyd County, GA",US,3/7/2020 16:53,2,0,0
309,"Harrison County, KY",US,3/9/2020 8:43,2,0,0
310,"Hendricks County, IN",US,3/9/2020 8:23,2,0,0
311,"Hillsborough, FL",US,3/3/2020 18:33,2,0,0
312,"Honolulu County, HI",US,3/9/2020 3:43,2,0,0
313,"Jackson County, OR ",US,3/8/2020 0:13,2,0,0
314,"Lackland, TX",US,2/21/2020 23:23,2,0,0
315,"Lee County, FL",US,3/8/2020 15:33,2,1,0
